fiscal_year,bid_number,document_type,record_date,record_number,title,normalized_vendor,category,subcategory,evidence_basis,substantive_source_url,procurement_status,award_status,contract_status,amendment_status,po_status,invoice_status,payment_status,approved_amount,contract_ceiling,verified_actual_payments,parent_contract_number,source_url,notes
"FY2025-26",,"Agreement/Contract","2026-03-18","2025/2026-0114","AGREEMENT FOR COMMUNITY DEVELOPMENT BLOCK GRANT (CDBG) HOUSING REHABILITATION - 1214 LIONS DEN DRIVE - CONNER","CONNER","Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/16858","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-18","2025/2026-0115","CBRE TEMPORARY LICENSE AGREEMENT MARKETING EVENT WALKING CLUB",,"Land/Leases/Real Estate",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/16852","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-20","2025/2026-0108","LAKE GENEVA RESTORATION PROJECT - C&S SITE","C&S SITE","Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/17590","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-03-23","2024/2025-41 AM3","THIRD AMENDMENT TO AGREEMENT FOR CR 220 WIDENING – PHASE 2 - REEVES CONSTRUCTION","REEVES CONSTRUCTION","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-41","https://dmcc.clayclerk.com/Documents/Download/17620","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-03-24","2018/2019-79 AM3","FAIRGROUNDS LEASE AMENDMENT",,"Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2018/2019-79","https://dmcc.clayclerk.com/Documents/Download/17596","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-03-24","2022/2023-149 AM1 RN1","FLORIDA DEPARTMENT OF COMMERCE EDC DATA SHARING",,"Other",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2022/2023-149","https://dmcc.clayclerk.com/Documents/Download/17602","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-03-24","2024/2025-306 AM2","LUTHERAN SERVICES - CCFR","CCFR","Fire/EMS",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-306","https://dmcc.clayclerk.com/Documents/Download/17609","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-24","2025/2026-0028","FDEP LAKE GENEVA GRANT AGREEMENT",,"Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/17605","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-24","2025/2026-0044","LOA - UNITED HEALTHCARE","UNITED HEALTHCARE","Health/Human Services",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/17606","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-24","2025/2026-0081","STATE FUNDED GRANT AGREEMENT - CR217 BRIDGE IMPROVEMENTS - FDOT",,"Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/17603","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-24","2025/2026-0099","FDOC WORK PROGRAM AGREEMENT",,"Other",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/17607","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-24","2025/2026-0105","FLORIDA DEPARTMENT OF STATE - DIVISION OF LIBRARY - DELIVERY SERVICE PARTICIPATION","DELIVERY SERVICE PARTICIPATION","Libraries/Media",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/17610","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-24","2025/2026-0117","AGREMENT FOR BARRIER NETTING AT CLAY COUNTY REGIONAL SPORTS COMPLEX - BAKER SPORTS","BAKER SPORTS","Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/17608","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-03-24","2025/2026-217 AM1","FIRST AMENDMENT TO OPERATIVE IQ LICENSING AGREEMENT - BOUND TREE MEDICAL OPERATIVE","BOUND TREE MEDICAL OPERATIVE","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2025/2026-217","https://dmcc.clayclerk.com/Documents/Download/17604","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-03-26","2023/2024-147 RN1","FIRST RENEWAL AND AMENDMENT TO AGREEMENT FOR PROFESSIONAL ARCHITECTURAL CONTINUING SERVICES - DASHER HURST","DASHER HURST","Engineering & Professional Services","Architecture & Design","CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-147","https://dmcc.clayclerk.com/Documents/Download/17585","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-03-26","2023/2024-148 RN1","FIRST RENEWAL AND AMENDMENT TO AGREEMENT FOR PROFESSIONAL ARCHITECTURAL CONTINUING SERVICES PROFESSIONAL ARCHITECTURAL CONTINUNING SERVICES",,"Engineering & Professional Services","Architecture & Design","CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2023/2024-148","https://dmcc.clayclerk.com/Documents/Download/17583","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-03-26","2023/2024-149 RN1","FIRST RENEWAL AND AMENDMENT TO AGREEMENT FOR PROFESSIONAL ARCHITECTURAL CONTINUING SERVICES - WALKER ARCHITECTS","WALKER ARCHITECTS","Engineering & Professional Services","Architecture & Design","CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024-149","https://dmcc.clayclerk.com/Documents/Download/17587","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-03-26","2023/2024-196 TO14","RESURFACING VARIOUS DISTRICTS 2 LOCATIONS",,"Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/17588","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-03-26","2023/2024146 RN1","FIRST RENEWAL AND AMENDMENT TO AGREEMENT FOR PROFESSIONAL ARCHITECTURAL CONTINUING SERVICES - BHIDE & HALL ARCHITECTS","BHIDE & HALL ARCHITECTS","Engineering & Professional Services","Architecture & Design","CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2023/2024146","https://dmcc.clayclerk.com/Documents/Download/17611","Clerk index metadata verified; document terms and payment chain require document-level review."
