fiscal_year,bid_number,document_type,record_date,record_number,title,normalized_vendor,category,subcategory,evidence_basis,substantive_source_url,procurement_status,award_status,contract_status,amendment_status,po_status,invoice_status,payment_status,approved_amount,contract_ceiling,verified_actual_payments,parent_contract_number,source_url,notes
"FY2025-26","25/26-074","Agreement/Contract","2026-06-12","2025/2026-0192","AGREEMENT FOR OAKLEAF COMMUNITY PARK DRAINAGE IMPROVEMENTS - H&H LAND AND MARINE","H&H Land and Marine, LLC","Stormwater/Drainage",,"SUBSTANTIVE OFFICIAL DOCUMENT REVIEWED","https://claycounty.novusagenda.com/agendapublic/MeetingView.aspx?MeetingID=2143&MinutesMeetingID=-1&doctype=Agenda","FOUND","FOUND","FOUND","N/A","MISSING","MISSING","MISSING","156770.2",,,,"https://dmcc.clayclerk.com/Documents/Download/18692","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-06-12","2025/2026-0198","ADOPT-A-MILE/SPOT PROGRAM LITTER REMOVAL AGREEMENT - OAKLEAF HIGH SCHOOL NJROTC",,"Community/Nonprofit Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18728","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26","25/26-041","Agreement/Contract","2026-06-15","2025/2026-0193","AGREEMENT FOR CARL PUGH PARK DRAINAGE IMPROVEMENTS - KIRBY DEVELOPMENT","Kirby Development, Inc.","Stormwater/Drainage",,"SUBSTANTIVE OFFICIAL DOCUMENT REVIEWED","https://claycounty.novusagenda.com/agendapublic/CoverSheet.aspx?ItemID=16674&MeetingID=2143","FOUND","FOUND","FOUND","N/A","MISSING","MISSING","MISSING","250559.42","250559.42",,,"https://dmcc.clayclerk.com/Documents/Download/18731","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26","25/26-017","Agreement/Contract","2026-06-17","2025/2026-0191","AGREEMENT FOR JAIL FIRE ALARM UPGRADE AT THE CLAY COUNTY JAIL - FIRETROL PROTECTION SYSTEMS","Firetrol Protection Systems, Inc.","Sheriff/Jail",,"SUBSTANTIVE OFFICIAL DOCUMENT REVIEWED","https://claycounty.novusagenda.com/agendapublic/MeetingView.aspx?MeetingID=2143&MinutesMeetingID=-1&doctype=Agenda","FOUND","FOUND","FOUND","N/A","MISSING","MISSING","MISSING","265476",,,,"https://dmcc.clayclerk.com/Documents/Download/18744","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-06-17","2025/2026-0195","TOURIST DEVELOPMENT COUNCIL SPORTS EVENT GRANT FUNDING AGREEMENT - IGNITE DANCE COMPETITION",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18729","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-06-17","2025/2026-0196","TOURIST DEVELOPMENT COUNCIL SPORTS EVENT GRANT FUNDING AGREEMENT - JC KITAIF PRO RODEOS",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18730","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-06-17","2025/2026-0197","TOURIST DEVELOPMENT COUNCIL SPORTS EVENT GRANT FUNDING AGREEMENT - J.GIERKE ENTERPRISES",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18738","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-06-23","2025/2026-0157","AGREEMENT FOR CYLINDER PRODUCT SUPPLY, RENTAL, AND DELIVERY SERVICES FOR CLAY COUNTY - AIRGAS USA","AIRGAS USA","Equipment/Fleet",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18752","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26","25/26-087","Procurement award","2026-06-24",,"EMS Medical Supplies — multiple award","10-vendor multiple award","Fire/EMS",,"SUBSTANTIVE OFFICIAL DOCUMENT REVIEWED","https://claycounty.novusagenda.com/agendapublic/MeetingView.aspx?MeetingID=2164&doctype=Agenda","FOUND","FOUND","MISSING","N/A","MISSING","MISSING","MISSING",,,,,"https://claycounty.novusagenda.com/agendapublic/MeetingView.aspx?MeetingID=2164&doctype=Agenda","Unit-price, as-needed award to ten vendors; no single ceiling stated. No executed agreement was matched in the Clerk sweep."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-06-24","2020/2021-166 AM1 RN1","FIRST AMENDMENT AND RENEWAL TO MEMORANDUM OF UNDERSTANDING - RIDEOUT POINT RESERVE - INFRASTRUCTURE IMPROVEMENTS AND MAINTENANCE - NORTH FLORIDA LAND TRUST",,"Land/Leases/Real Estate",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2020/2021-166","https://dmcc.clayclerk.com/Documents/Download/18743","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-06-24","2025/2026-0201","AGREEMENT FOR SPRINGHAVEN ROAD CIPP - VORTEX INFRASTRUCTURE SERVICES",,"Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18739","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-06-25","2022/2023-218 RN1","FIRST RENEWAL TO AGREEMENT FOR TRIM PROCESSING AND EXEMPTION RENEWALS - FSSI EAST INC.","FSSI EAST INC.","Administrative/Consulting",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-218","https://dmcc.clayclerk.com/Documents/Download/18736","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-06-29","2020/2021-50 RN3","THIRD RENEWAL TO MASTER TERMS AND CONDITIONS AGREEMENT - SUBSCRIPTION SERVICES - BUTTERFLY NETWORK","Butterfly Network","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2020/2021-50","https://dmcc.clayclerk.com/Documents/Download/18781","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-06-29","2025/2026-0199","AGREEMENT FOR GENERATOR PREVENTATIVE MAINTENANCE - ZABATT POWER SYSTEMS","ZABATT POWER SYSTEMS","Fire/EMS",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18745","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-06-30","2024/2025-30 AM5","FIFTH AMENDMENT TO AGREEMENT FOR CR 220 WIDENING – PHASE 1 - KIRBY DEVELOPMENT","KIRBY DEVELOPMENT","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-30","https://dmcc.clayclerk.com/Documents/Download/18758","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-07-02","2025/2026-0204","SERVPRO - 420 COLLEGE DRIVE","420 COLLEGE DRIVE","Construction/Repairs/Facilities",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18753","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-07-06","2022/2023-236 RN1","EPROVAL WEB-BASED PORTAL - EVENTS APPROVALS - LICENSE RENEWAL","LICENSE RENEWAL","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-236","https://dmcc.clayclerk.com/Documents/Download/18755","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-07-07","2025/2026-0203","CLINICAL AFFILIATION AGREEMENT - THE EMS TRAINING, LLC dba SCHOOL OF EMS",,"Fire/EMS",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18757","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-07-10","2024/2025-279 AM1","FIRST AMENDMENT TO AGREEMENT FOR PROFESSIONAL ARCHITECTURAL SERVICES FOR OAKLEAF LIBRARY - FLEISCHMAN ABD GARICA ARCHITECTS","FLEISCHMAN ABD GARICA ARCHITECTS","Engineering & Professional Services","Architecture & Design","CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-279","https://dmcc.clayclerk.com/Documents/Download/18761","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-07-10","2025/2026-0205","Impact Works Subscriber Participation Agreement – Clay County Government - IMPACT WORKS","Impact Works","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18760","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-07-10","2025/2026-0206","INTERLOCAL AGREEMENT REGARDING ENHANCED RIGHTS-OF-WAY IMPROVEMENTS AND MAINTENANCE - KUTAK ROCK",,"Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18759","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-07-14","2024/2025-342 AM1","FIRST AMENDMENT TO CLAY COUNTY LEASE AGREEMENT WITH DOING WHAT WE DREAM, INC. AND PRECIOUS SOULS ACADEMY, INC. - BEAR RUN","BEAR RUN","Land/Leases/Real Estate",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-342","https://dmcc.clayclerk.com/Documents/Download/18774","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-07-14","2024/2025-68 AM1 (R)","COUNTY OWNED LEASED PROPERTY",,"Land/Leases/Real Estate",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2024/2025-68","https://dmcc.clayclerk.com/Documents/Download/18771","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-07-14","2025/2026-0209","FRANCHISE AGREEMENT FOR CONTAINER SERVICES - JOBSITE DUMPSTERS","JOBSITE DUMPSTERS","Solid Waste/Franchises",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18790","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-07-14","2025/2026-0218","DOW JONES AND COMPANY - PUBLIC LIBRARIES AMENITY SERIVCE","PUBLIC LIBRARIES AMENITY SERIVCE","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18791","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-07-14","2025/2026-143 AM1","FIRST AMENDMENT TO AGREEMENT FOR MOODY PARK NATIONAL FITNESS CAMPAIGN SLAB",,"Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2025/2026-143","https://dmcc.clayclerk.com/Documents/Download/18784","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-07-15","2019/2020-182 RN2","SECOND RENEWAL TO AGREEMENT FOR DEBRIS MONITORING SERVICES - DEBRIS TECH, LLC","DEBRIS TECH, LLC","Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2019/2020-182","https://dmcc.clayclerk.com/Documents/Download/18763","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-07-15","2019/2020-184 RN2","SECOND RENEWAL TO AGREEMENT FOR DEBRIS MONITORING SERVICES - THOMPSON CONSULTING SERVICES, LLC","THOMPSON CONSULTING SERVICES, LLC","Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2019/2020-184","https://dmcc.clayclerk.com/Documents/Download/18764","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-07-15","2022/2023-266 ADD2","SECOND ADDENDUM TO AGREEMENT FOR CLAY COUNTY COURTHOUSE ACCESS SECURITY SYSTEM UPGRADE - MILLER ELECTRIC","MILLER ELECTRIC","Public Safety",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-266 ADD2","https://dmcc.clayclerk.com/Documents/Download/18767","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26","25/26-073","Agreement/Contract","2026-07-15","2025/2026-0207","AGREEMENT FOR MOBILE TRAILERS FOR FIREFIGHTER GEAR STORAGE - FLY'N BRYAN TRAILERS dba FB TRAILERS","Fly'n Bryan Trailer Sales dba FB Trailers","Fire/EMS",,"SUBSTANTIVE OFFICIAL DOCUMENT REVIEWED","https://claycounty.novusagenda.com/agendapublic/MeetingView.aspx?MeetingID=2164&doctype=Agenda","FOUND","FOUND","FOUND","N/A","MISSING","MISSING","MISSING","75196","75196",,,"https://dmcc.clayclerk.com/Documents/Download/18782","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-07-15","2025/2026-117 AM1","FIRST AMENDMENT TO AGREEMENT FOR BARRIE NETTING AT CLAY COUNTY REGIONAL SPORTS COMPLEX - BAKER SPORTS","BAKER SPORTS","Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2025/2026-117","https://dmcc.clayclerk.com/Documents/Download/18780","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-07-16","2024/2025-94 AM1","FIRST AMENDMENT TO AGREEMENT FOR CONSTRUCTION OF PEDESTRIAN IMPROVEMENTS ON EVERGREEN LANE FROM CR 220B TO LISA DAWN DR; EVERGREEN LANE TO SCHOOL - BESCH AND SMITH CIVIL GROUP","BESCH AND SMITH CIVIL GROUP","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-94","https://dmcc.clayclerk.com/Documents/Download/18787","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-07-16","2025/2026-83 AM1","FIRST AMENDMENT TO AGREEMENT FOR CONSTRUCTION OF RADAR ROAD - DB CIVIL CONSTRUCTION","DB CIVIL CONSTRUCTION","Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2025/2026-83","https://dmcc.clayclerk.com/Documents/Download/18785","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-07-20","2025/2026-0211","TEMPORARY LICENSE AGREEMENT - REINHOLD CORPORATION","REINHOLD CORPORATION","Land/Leases/Real Estate",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18772","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-07-20","2025/2026-51 AM1","eBOOK ADDENDUM - APCO INTELLICOMM","APCO International","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2025/2026-51","https://dmcc.clayclerk.com/Documents/Download/18874","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-07-22","2018/2019-141 EXT 5","FIFTH EXTENSION TO LEASE AGREEMENT - EAGLE HARBOR PARK - THE CROSSINGS AT FLEMING ISLAND CDD","THE CROSSINGS AT FLEMING ISLAND CDD","Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2018/2019-141 EXT 5","https://dmcc.clayclerk.com/Documents/Download/18788","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-07-22","2025/2026-113 AM1","FIRST AMENDMENT TO AGREEMENT FOR COMMUNITY DEVELOPMENT BLOCK GRANT SDBG HOUSING REHABILITATION - 972 SANDSTONE DRIVE - JAMES KAES/LISA KAES","JAMES KAES/LISA KAES","Grants/Interlocal Agreements",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2025/2026-113","https://dmcc.clayclerk.com/Documents/Download/18797","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-07-23","2025/2026-0212","SWANK EVENT ORDER FORM - MOVIE LICENSES","MOVIE LICENSES","Parks/Recreation",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18786","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-07-24","2025/2026-0213","THE MASTERS TOUCH, LLC - STORMWATER FEE NOTICES","STORMWATER FEE NOTICES","Stormwater/Drainage",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18789","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-07-28","2024/2025-78 AM1","FIRST AMENDMENT TO AGREEMENT FOR CLAY COUNTY JUDICIAL FACILITY MASTER PLAN - DEWBERRY ARCHITECTS","DEWBERRY ARCHITECTS","Engineering & Professional Services","Architecture & Design","CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2024/2025-78","https://dmcc.clayclerk.com/Documents/Download/18798","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-07-28","2025/2026-0219","MASTER SERVICE AGREEMENT - SWIFTGOV AND SOW","SwiftGov","Software/SaaS/Subscriptions/IT",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18803","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-07-30","2025/2026-0217","INTERLOCAL AGREEMENT BETWEEN CLAY COUNTY, FLORIDA AND THE TOWN OF PENNEY FARMS, FLORIDA FOR DISASTER DEBRIS MANAGEMENT SITE (DDMS)",,"Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18792","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-07-31","2025/2026-0216","HOBART AGREEMENT - ITW Food EQUIPMENT GROUP - REPAIRS AND PREVENTATIVE MAINTENANCE ON KITCHEN EQUIPMENT - CCSO JAIL","CCSO JAIL","Sheriff/Jail",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18795","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-08-03","2025/2026-0233","MEMORANDUM OF UNDERSTANDING BETWEEN CLAY COUNTY AND NORTH FLORIDA LAND TRUST REGARDING USE OF NORTH FLORIDA LAND TRUST’S TARFLOWER PRESERVE - NORTH FLORIDA LAND TRUST",,"Land/Leases/Real Estate",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18804","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-08-06","2022/2023-259 AM4","STATE OF FLORIDA DIVISION OF HISTORICAL RESOURCES - LOAN AGREEMENT FOR BORROWED ARTIFACTS","LOAN AGREEMENT FOR BORROWED ARTIFACTS","Community/Nonprofit Agreements",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","MISSING","MISSING","MISSING",,,,"2022/2023-259","https://dmcc.clayclerk.com/Documents/Download/18813","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-08-06","2025/2026-0224","SCHOOL BOARD RE: ORANGE PARK HIGH SCHOOL - INSTRUCTOR FOR THE FIRE RESCUE PROGRAM","INSTRUCTOR FOR THE FIRE RESCUE PROGRAM","Fire/EMS",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18814","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-08-06","2025/2026-0225","INTERLOCAL AGREEMENT BETWEEN CLAY COUNTY, FLORIDA AND THE CITY OF KEYSTONE HEIGHTS, FLORIDA FOR DISASTER DEBRIS MANAGEMENT SITE (DDMS)",,"Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18811","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-08-06","2025/2026-0226","FLORIDA ANIMAL FRIEND - SPAY-NEUTER LICENSE PLATE PROGRAM","SPAY-NEUTER LICENSE PLATE PROGRAM","Community/Nonprofit Agreements",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18815","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-08-06","2025/2026-0227","INTERLOCAL AGREEMENT BETWEEN CLAY COUNTY, FLORIDA AND THE CITY OF GREEN COVE SPRINGS, FLORIDA FOR DISASTER DEBRIS MANAGEMENT SITE (DDMS)",,"Environmental/Mosquito",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18812","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-08-06","2025/2026-0228","AMERICAN RED CROSS - LICENSED TRAINING PROVIDER AGREEMENT - FIRE RESCUE","FIRE RESCUE","Fire/EMS",,"CLERK INDEX METADATA ONLY",,"NEEDS VERIFICATION","NEEDS VERIFICATION","FOUND","N/A","MISSING","MISSING","MISSING",,,,,"https://dmcc.clayclerk.com/Documents/Download/18810","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-08-10","2025/2026-233","FDFS STATE FUNDED HAZMAT SUSTAINMENT AWARD CONFIRMATION",,"Fire/EMS",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18833","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Renewals/Extensions/Amendments","2026-08-11","2019/2020-40 SA2","FDOT FRONTAGE ROAD",,"Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","NEEDS VERIFICATION","FOUND","N/A","N/A","N/A",,,,"2019/2020-40 SA2","https://dmcc.clayclerk.com/Documents/Download/18819","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-08-11","2025/2026-220","MOBILITY FEE AND APF CREDIT AGREEMENT - HYLAND TRAIL/NS2 AND EW1",,"Roads/Transportation",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18817","Clerk index metadata verified; document terms and payment chain require document-level review."
"FY2025-26",,"Agreement/Contract","2026-08-11","2025/2026-221","IMPACT FEE CREDIT AGREEMENT FOR FIRE AND RESCUE FACILITIES - HYLAND TRAIL - FIRE STATION SITE 15",,"Fire/EMS",,"CLERK INDEX METADATA ONLY",,"N/A","N/A","FOUND","N/A","N/A","N/A","N/A",,,,,"https://dmcc.clayclerk.com/Documents/Download/18818","Clerk index metadata verified; document terms and payment chain require document-level review."
